id,src,dst,name,amount,step,cotype,alertid,issar
58,88,30,c1_6,324.57,13,n_to_n,1,True
59,88,56,c1_6,459.95,13,n_to_n,1,True
60,88,114,c1_6,451.48,12,n_to_n,1,True
61,88,48,c1_6,433.53,13,n_to_n,1,True
62,88,72,c1_6,279.82,12,n_to_n,1,True
63,88,28,c1_6,379.03,13,n_to_n,1,True
64,52,22,c1_6,541.02,12,n_to_n,1,True
65,52,55,c1_6,317.59,12,n_to_n,1,True
66,52,30,c1_6,541.05,12,n_to_n,1,True
67,52,56,c1_6,469.75,11,n_to_n,1,True
68,52,114,c1_6,306.2,12,n_to_n,1,True
69,52,48,c1_6,421.09,12,n_to_n,1,True
70,52,72,c1_6,429.08,12,n_to_n,1,True
71,52,28,c1_6,435.45,12,n_to_n,1,True
72,8,83,c1_12,459.15,23,1_to_n,1,True
73,8,11,c1_12,285.09,24,1_to_n,1,True
74,8,92,c1_12,276.21,23,1_to_n,1,True
75,8,27,c1_12,482.57,23,1_to_n,1,True
76,8,16,c1_12,319.91,24,1_to_n,1,True
77,8,14,c1_12,357.51,23,1_to_n,1,True
78,8,32,c1_12,452.93,24,1_to_n,1,True
79,8,111,c1_12,297.49,24,1_to_n,1,True
80,8,68,c1_12,353.81,23,1_to_n,1,True
81,8,7,c1_12,398.92,24,1_to_n,1,True
82,8,77,c1_12,492.64,24,1_to_n,1,True
83,8,108,c1_12,377.59,24,1_to_n,1,True
84,8,67,c1_12,306.05,24,1_to_n,1,True
85,8,81,c1_12,545.09,24,1_to_n,1,True
86,8,73,c1_12,415.53,24,1_to_n,1,True
87,8,13,c1_12,335.71,24,1_to_n,1,True
88,8,94,c1_12,522.38,23,1_to_n,1,True
89,8,57,c1_12,505.51,24,1_to_n,1,True
90,8,3,c1_12,543.86,24,1_to_n,1,True
91,8,109,c1_12,532.12,23,1_to_n,1,True
92,8,34,c1_12,491.37,23,1_to_n,1,True
93,8,98,c1_12,276.32,24,1_to_n,1,True
94,8,89,c1_12,266.4,23,1_to_n,1,True
95,8,10,c1_12,360.27,23,1_to_n,1,True
96,8,17,c1_12,461.03,23,1_to_n,1,True
97,22,61,c1_7,227.6,13,n_to_n,1,True
98,22,47,c1_7,306.52,13,n_to_n,1,True
99,22,105,c1_7,216.33,14,n_to_n,1,True
100,22,70,c1_7,343.08,13,n_to_n,1,True
101,22,110,c1_7,291.52,13,n_to_n,1,True
102,55,61,c1_7,231.59,14,n_to_n,1,True
103,55,47,c1_7,327.57,15,n_to_n,1,True
104,55,105,c1_7,277.49,14,n_to_n,1,True
105,55,70,c1_7,342.28,15,n_to_n,1,True
106,55,110,c1_7,152.29,15,n_to_n,1,True
107,30,61,c1_7,255.57,14,n_to_n,1,True
108,30,47,c1_7,267.08,14,n_to_n,1,True
109,30,105,c1_7,210.25,14,n_to_n,1,True
110,30,70,c1_7,348.42,14,n_to_n,1,True
111,30,110,c1_7,336.33,14,n_to_n,1,True
112,56,61,c1_7,282.54,14,n_to_n,1,True
113,56,47,c1_7,300.89,15,n_to_n,1,True
114,56,105,c1_7,260.39,15,n_to_n,1,True
115,56,70,c1_7,292.9,15,n_to_n,1,True
116,56,110,c1_7,137.45,15,n_to_n,1,True
117,114,61,c1_7,313.66,14,n_to_n,1,True
118,114,47,c1_7,332.52,13,n_to_n,1,True
119,114,105,c1_7,274.82,13,n_to_n,1,True
120,114,70,c1_7,279.24,13,n_to_n,1,True
121,114,110,c1_7,35.59,13,n_to_n,1,True
122,48,61,c1_7,297.39,15,n_to_n,1,True
123,48,47,c1_7,320.28,14,n_to_n,1,True
124,48,105,c1_7,252.59,15,n_to_n,1,True
125,48,70,c1_7,303.85,14,n_to_n,1,True
126,48,110,c1_7,213.44,15,n_to_n,1,True
127,72,61,c1_7,248.5,13,n_to_n,1,True
128,72,47,c1_7,229.85,13,n_to_n,1,True
129,72,105,c1_7,301.44,13,n_to_n,1,True
130,72,70,c1_7,300.62,14,n_to_n,1,True
131,72,110,c1_7,80.27,14,n_to_n,1,True
132,28,61,c1_7,189.03,15,n_to_n,1,True
133,28,47,c1_7,303.43,14,n_to_n,1,True
134,28,105,c1_7,254.85,15,n_to_n,1,True
135,28,70,c1_7,245.97,14,n_to_n,1,True
136,28,110,c1_7,451.33,15,n_to_n,1,True
137,61,66,c1_8,286.94,16,n_to_n,1,True
138,61,78,c1_8,257.41,16,n_to_n,1,True
139,61,15,c1_8,228.54,17,n_to_n,1,True
140,61,31,c1_8,296.23,17,n_to_n,1,True
141,61,39,c1_8,237.07,17,n_to_n,1,True
142,61,117,c1_8,260.43,17,n_to_n,1,True
143,61,90,c1_8,227.3,16,n_to_n,1,True
144,61,19,c1_8,231.49,16,n_to_n,1,True
145,47,66,c1_8,201.36,17,n_to_n,1,True
146,47,78,c1_8,231.39,17,n_to_n,1,True
147,47,15,c1_8,209.32,17,n_to_n,1,True
148,47,31,c1_8,333.01,17,n_to_n,1,True
149,47,39,c1_8,336.58,16,n_to_n,1,True
150,47,117,c1_8,205.51,16,n_to_n,1,True
151,47,90,c1_8,238.7,17,n_to_n,1,True
152,47,19,c1_8,608.4,16,n_to_n,1,True
153,105,66,c1_8,336.28,17,n_to_n,1,True
154,105,78,c1_8,218.4,16,n_to_n,1,True
155,105,15,c1_8,178.02,16,n_to_n,1,True
156,105,31,c1_8,169.67,16,n_to_n,1,True
157,105,39,c1_8,184.72,16,n_to_n,1,True
158,105,117,c1_8,250.28,16,n_to_n,1,True
159,105,90,c1_8,305.56,17,n_to_n,1,True
160,105,19,c1_8,384.77,16,n_to_n,1,True
161,70,66,c1_8,381.76,16,n_to_n,1,True
162,70,78,c1_8,348.05,17,n_to_n,1,True
163,70,15,c1_8,324.54,16,n_to_n,1,True
164,70,31,c1_8,289.36,16,n_to_n,1,True
165,70,39,c1_8,338.39,17,n_to_n,1,True
166,70,117,c1_8,380.42,17,n_to_n,1,True
167,70,90,c1_8,269.47,16,n_to_n,1,True
168,70,19,c1_8,99.81,17,n_to_n,1,True
169,110,66,c1_8,253.96,16,n_to_n,1,True
170,110,78,c1_8,169.85,16,n_to_n,1,True
171,110,15,c1_8,247.39,16,n_to_n,1,True
172,110,31,c1_8,142.99,17,n_to_n,1,True
173,110,39,c1_8,196.39,16,n_to_n,1,True
174,110,117,c1_8,181.99,16,n_to_n,1,True
175,110,90,c1_8,188.83,17,n_to_n,1,True
176,110,19,c1_8,299.85,16,n_to_n,1,True
177,66,101,c1_9,241.93,19,n_to_n,1,True
178,66,24,c1_9,444.92,18,n_to_n,1,True
179,66,58,c1_9,349.65,18,n_to_n,1,True
180,66,93,c1_9,409.19,19,n_to_n,1,True
181,78,101,c1_9,215.91,18,n_to_n,1,True
182,78,24,c1_9,378.47,19,n_to_n,1,True
183,78,58,c1_9,199.66,18,n_to_n,1,True
184,78,93,c1_9,418.8,19,n_to_n,1,True
185,15,101,c1_9,197.92,19,n_to_n,1,True
186,15,24,c1_9,385.17,19,n_to_n,1,True
187,15,58,c1_9,327.85,18,n_to_n,1,True
188,15,93,c1_9,264.99,18,n_to_n,1,True
189,31,101,c1_9,357.58,19,n_to_n,1,True
190,31,24,c1_9,241.37,18,n_to_n,1,True
191,31,58,c1_9,338.34,19,n_to_n,1,True
192,31,93,c1_9,281.65,18,n_to_n,1,True
193,39,101,c1_9,298.84,19,n_to_n,1,True
194,39,24,c1_9,216.57,19,n_to_n,1,True
195,39,58,c1_9,372.41,19,n_to_n,1,True
196,39,93,c1_9,392.4,18,n_to_n,1,True
197,117,101,c1_9,412.95,19,n_to_n,1,True
198,117,24,c1_9,317.95,18,n_to_n,1,True
199,117,58,c1_9,223.45,19,n_to_n,1,True
200,117,93,c1_9,311.48,18,n_to_n,1,True
201,90,101,c1_9,249.47,18,n_to_n,1,True
202,90,24,c1_9,263.2,19,n_to_n,1,True
203,90,58,c1_9,261.6,19,n_to_n,1,True
204,90,93,c1_9,443.29,18,n_to_n,1,True
205,19,101,c1_9,379.68,18,n_to_n,1,True
206,19,24,c1_9,500.99,19,n_to_n,1,True
207,19,58,c1_9,511.95,18,n_to_n,1,True
208,19,93,c1_9,215.46,19,n_to_n,1,True
209,101,42,c1_10,2330.73,21,n_to_1,1,True
210,24,42,c1_10,2721.16,20,n_to_1,1,True
211,58,42,c1_10,2559.07,21,n_to_1,1,True
212,93,42,c1_10,2709.88,21,n_to_1,1,True
213,44,112,c1_1,543.98,1,n_to_1,1,True
214,37,112,c1_1,304.21,1,n_to_1,1,True
215,84,112,c1_1,348.61,2,n_to_1,1,True
216,104,112,c1_1,312.27,3,n_to_1,1,True
217,80,112,c1_1,353.47,2,n_to_1,1,True
218,26,112,c1_1,442.71,3,n_to_1,1,True
219,99,112,c1_1,474.03,3,n_to_1,1,True
220,119,112,c1_1,332.57,1,n_to_1,1,True
221,71,112,c1_1,338.2,3,n_to_1,1,True
222,20,112,c1_1,336.29,3,n_to_1,1,True
223,106,112,c1_1,557.7,2,n_to_1,1,True
224,115,112,c1_1,468.25,3,n_to_1,1,True
225,18,112,c1_1,491.44,2,n_to_1,1,True
226,2,112,c1_1,540.38,3,n_to_1,1,True
227,86,112,c1_1,379.72,2,n_to_1,1,True
228,36,112,c1_1,520.41,3,n_to_1,1,True
229,21,112,c1_1,474.44,2,n_to_1,1,True
230,91,112,c1_1,533.11,1,n_to_1,1,True
231,45,112,c1_1,406.71,3,n_to_1,1,True
232,53,112,c1_1,559.35,2,n_to_1,1,True
233,65,112,c1_1,575.6,2,n_to_1,1,True
234,25,112,c1_1,335.39,2,n_to_1,1,True
235,41,112,c1_1,537.38,2,n_to_1,1,True
236,50,112,c1_1,557.42,2,n_to_1,1,True
237,133,124,c1_1,427.77,30,n_to_1,2,True
238,124,143,c1_2,2819.84,34,1_to_n,2,True
239,124,163,c1_2,3227.13,33,1_to_n,2,True
240,124,176,c1_2,2085.62,33,1_to_n,2,True
241,124,136,c1_2,2398.38,34,1_to_n,2,True
242,143,134,c1_3,328.18,35,n_to_n,2,True
243,143,141,c1_3,513.75,35,n_to_n,2,True
244,143,232,c1_3,452.3,35,n_to_n,2,True
245,143,145,c1_3,334.46,35,n_to_n,2,True
246,143,214,c1_3,488.59,35,n_to_n,2,True
247,143,164,c1_3,674.37,36,n_to_n,2,True
248,163,134,c1_3,585.63,34,n_to_n,2,True
249,163,141,c1_3,605.59,35,n_to_n,2,True
250,163,232,c1_3,679.91,34,n_to_n,2,True
251,163,145,c1_3,570.28,35,n_to_n,2,True
252,163,214,c1_3,456.27,34,n_to_n,2,True
253,163,164,c1_3,297.19,34,n_to_n,2,True
254,176,134,c1_3,279.72,34,n_to_n,2,True
255,176,141,c1_3,260.41,35,n_to_n,2,True
256,176,232,c1_3,442.84,34,n_to_n,2,True
257,176,145,c1_3,459.24,34,n_to_n,2,True
258,176,214,c1_3,290.58,35,n_to_n,2,True
259,176,164,c1_3,331.98,35,n_to_n,2,True
260,136,134,c1_3,450.09,36,n_to_n,2,True
261,136,141,c1_3,371.87,36,n_to_n,2,True
262,136,232,c1_3,319.22,36,n_to_n,2,True
263,136,145,c1_3,511.1,35,n_to_n,2,True
264,136,214,c1_3,334.34,35,n_to_n,2,True
265,136,164,c1_3,387.78,35,n_to_n,2,True
266,134,177,c1_4,1627.18,38,n_to_1,2,True
267,141,177,c1_4,1734.09,37,n_to_1,2,True
268,232,177,c1_4,1875.32,38,n_to_1,2,True
269,145,177,c1_4,1856.33,36,n_to_1,2,True
270,214,177,c1_4,1554.07,36,n_to_1,2,True
271,164,177,c1_4,1674.4,37,n_to_1,2,True
272,177,121,c1_5,2935.88,40,n_to_n,2,True
273,177,172,c1_5,3114.66,40,n_to_n,2,True
274,177,159,c1_5,2954.53,39,n_to_n,2,True
275,177,167,c1_5,1213.12,40,n_to_n,2,True
276,177,120,c1_11,9524.02,52,1_to_1,2,True
277,121,182,c1_6,295.66,41,n_to_n,2,True
278,121,193,c1_6,355.65,41,n_to_n,2,True
279,121,187,c1_6,474.61,42,n_to_n,2,True
280,121,147,c1_6,342.93,42,n_to_n,2,True
281,121,230,c1_6,314.72,41,n_to_n,2,True
282,121,233,c1_6,476.57,42,n_to_n,2,True
283,121,174,c1_6,467.74,42,n_to_n,2,True
284,121,123,c1_6,178.65,42,n_to_n,2,True
285,172,182,c1_6,356.28,41,n_to_n,2,True
286,172,193,c1_6,433.15,41,n_to_n,2,True
287,172,187,c1_6,461.21,42,n_to_n,2,True
288,172,147,c1_6,383.93,41,n_to_n,2,True
289,172,230,c1_6,432.56,42,n_to_n,2,True
290,172,233,c1_6,496.98,41,n_to_n,2,True
291,172,174,c1_6,480.38,42,n_to_n,2,True
292,172,123,c1_6,39.03,41,n_to_n,2,True
293,159,182,c1_6,365.58,41,n_to_n,2,True
294,159,193,c1_6,275.12,40,n_to_n,2,True
295,159,187,c1_6,437.63,40,n_to_n,2,True
296,159,147,c1_6,390.01,40,n_to_n,2,True
297,159,230,c1_6,336.13,41,n_to_n,2,True
298,159,233,c1_6,456.72,40,n_to_n,2,True
299,159,174,c1_6,337.8,41,n_to_n,2,True
300,159,123,c1_6,325.99,41,n_to_n,2,True
301,167,182,c1_6,126.46,41,n_to_n,2,True
302,167,193,c1_6,181.76,42,n_to_n,2,True
303,167,187,c1_6,140.19,42,n_to_n,2,True
304,167,147,c1_6,103.41,42,n_to_n,2,True
305,167,230,c1_6,193.92,41,n_to_n,2,True
306,167,233,c1_6,158.27,42,n_to_n,2,True
307,167,174,c1_6,143.01,42,n_to_n,2,True
308,167,123,c1_6,153.95,42,n_to_n,2,True
309,120,179,c1_12,385.32,52,1_to_n,2,True
310,120,211,c1_12,272.09,53,1_to_n,2,True
311,120,157,c1_12,416.32,53,1_to_n,2,True
312,120,128,c1_12,401.55,52,1_to_n,2,True
313,120,158,c1_12,493.9,53,1_to_n,2,True
314,120,198,c1_12,275.45,52,1_to_n,2,True
315,120,226,c1_12,461.38,53,1_to_n,2,True
316,120,192,c1_12,273.5,53,1_to_n,2,True
317,120,210,c1_12,411.33,52,1_to_n,2,True
318,120,178,c1_12,276.63,52,1_to_n,2,True
319,120,207,c1_12,299.21,52,1_to_n,2,True
320,120,205,c1_12,350.26,53,1_to_n,2,True
321,120,188,c1_12,254.54,52,1_to_n,2,True
322,120,150,c1_12,282.7,53,1_to_n,2,True
323,120,170,c1_12,406.88,52,1_to_n,2,True
324,120,130,c1_12,484.05,52,1_to_n,2,True
325,120,144,c1_12,399.17,52,1_to_n,2,True
326,120,155,c1_12,393.93,52,1_to_n,2,True
327,120,209,c1_12,280.39,52,1_to_n,2,True
328,120,135,c1_12,492.05,52,1_to_n,2,True
329,120,160,c1_12,321.96,53,1_to_n,2,True
330,120,195,c1_12,332.51,53,1_to_n,2,True
331,120,132,c1_12,329.29,53,1_to_n,2,True
332,120,196,c1_12,498.14,53,1_to_n,2,True
333,120,180,c1_12,731.49,52,1_to_n,2,True
334,182,148,c1_7,278.13,42,n_to_n,2,True
335,182,234,c1_7,264.94,42,n_to_n,2,True
336,182,131,c1_7,265.9,42,n_to_n,2,True
337,182,151,c1_7,258.03,42,n_to_n,2,True
338,182,166,c1_7,65.54,43,n_to_n,2,True
339,193,148,c1_7,232.44,43,n_to_n,2,True
340,193,234,c1_7,190.61,43,n_to_n,2,True
341,193,131,c1_7,274.87,44,n_to_n,2,True
342,193,151,c1_7,247.62,43,n_to_n,2,True
343,193,166,c1_7,287.69,43,n_to_n,2,True
344,187,148,c1_7,303.02,44,n_to_n,2,True
345,187,234,c1_7,349.01,44,n_to_n,2,True
346,187,131,c1_7,234.56,44,n_to_n,2,True
347,187,151,c1_7,279.32,43,n_to_n,2,True
348,187,166,c1_7,332.58,43,n_to_n,2,True
349,147,148,c1_7,303.55,44,n_to_n,2,True
350,147,234,c1_7,245.41,43,n_to_n,2,True
351,147,131,c1_7,158.81,44,n_to_n,2,True
352,147,151,c1_7,165.72,43,n_to_n,2,True
353,147,166,c1_7,334.59,44,n_to_n,2,True
354,230,148,c1_7,293.67,44,n_to_n,2,True
355,230,234,c1_7,214.84,44,n_to_n,2,True
356,230,131,c1_7,301.94,44,n_to_n,2,True
357,230,151,c1_7,292.46,43,n_to_n,2,True
358,230,166,c1_7,161.65,43,n_to_n,2,True
359,233,148,c1_7,229.43,44,n_to_n,2,True
360,233,234,c1_7,360.75,43,n_to_n,2,True
361,233,131,c1_7,312.42,43,n_to_n,2,True
362,233,151,c1_7,238.97,44,n_to_n,2,True
363,233,166,c1_7,431.08,43,n_to_n,2,True
364,174,148,c1_7,316.77,44,n_to_n,2,True
365,174,234,c1_7,216.52,43,n_to_n,2,True
366,174,131,c1_7,349.3,43,n_to_n,2,True
367,174,151,c1_7,337.13,43,n_to_n,2,True
368,174,166,c1_7,194.93,43,n_to_n,2,True
369,123,148,c1_7,111.12,44,n_to_n,2,True
370,123,234,c1_7,157.77,43,n_to_n,2,True
371,123,131,c1_7,90.61,43,n_to_n,2,True
372,123,151,c1_7,130.08,43,n_to_n,2,True
373,123,166,c1_7,201.06,44,n_to_n,2,True
374,148,139,c1_8,220.45,46,n_to_n,2,True
375,148,203,c1_8,269.93,46,n_to_n,2,True
376,148,127,c1_8,238.37,46,n_to_n,2,True
377,148,201,c1_8,197.9,46,n_to_n,2,True
378,148,142,c1_8,276.51,45,n_to_n,2,True
379,148,224,c1_8,172.21,46,n_to_n,2,True
380,148,215,c1_8,323.59,45,n_to_n,2,True
381,148,227,c1_8,348.49,45,n_to_n,2,True
382,234,139,c1_8,189.11,45,n_to_n,2,True
383,234,203,c1_8,252.58,46,n_to_n,2,True
384,234,127,c1_8,186.52,45,n_to_n,2,True
385,234,201,c1_8,331.93,45,n_to_n,2,True
386,234,142,c1_8,227.07,45,n_to_n,2,True
387,234,224,c1_8,172.43,45,n_to_n,2,True
388,234,215,c1_8,220.74,46,n_to_n,2,True
389,234,227,c1_8,399.48,46,n_to_n,2,True
390,131,139,c1_8,313.64,46,n_to_n,2,True
391,131,203,c1_8,214.98,45,n_to_n,2,True
392,131,127,c1_8,256.29,46,n_to_n,2,True
393,131,201,c1_8,330.72,45,n_to_n,2,True
394,131,142,c1_8,262.62,46,n_to_n,2,True
395,131,224,c1_8,313.77,46,n_to_n,2,True
396,131,215,c1_8,161.88,45,n_to_n,2,True
397,131,227,c1_8,114.62,45,n_to_n,2,True
398,151,139,c1_8,303.92,46,n_to_n,2,True
399,151,203,c1_8,181.15,45,n_to_n,2,True
400,151,127,c1_8,266.72,45,n_to_n,2,True
401,151,201,c1_8,277.77,46,n_to_n,2,True
402,151,142,c1_8,293.72,45,n_to_n,2,True
403,151,224,c1_8,264.42,45,n_to_n,2,True
404,151,215,c1_8,313.46,45,n_to_n,2,True
405,151,227,c1_8,28.67,46,n_to_n,2,True
406,166,139,c1_8,286.77,45,n_to_n,2,True
407,166,203,c1_8,197.24,46,n_to_n,2,True
408,166,127,c1_8,320.86,45,n_to_n,2,True
409,166,201,c1_8,277.97,45,n_to_n,2,True
410,166,142,c1_8,164.47,46,n_to_n,2,True
411,166,224,c1_8,201.48,46,n_to_n,2,True
412,166,215,c1_8,228.82,45,n_to_n,2,True
413,166,227,c1_8,311.43,46,n_to_n,2,True
414,139,222,c1_9,375.15,48,n_to_n,2,True
415,139,189,c1_9,437.26,47,n_to_n,2,True
416,139,122,c1_9,298.89,47,n_to_n,2,True
417,139,185,c1_9,189.45,48,n_to_n,2,True
418,203,222,c1_9,343.14,48,n_to_n,2,True
419,203,189,c1_9,371.46,47,n_to_n,2,True
420,203,122,c1_9,352.39,48,n_to_n,2,True
421,203,185,c1_9,37.73,47,n_to_n,2,True
422,127,222,c1_9,384.07,48,n_to_n,2,True
423,127,189,c1_9,240.7,47,n_to_n,2,True
424,127,122,c1_9,248.76,47,n_to_n,2,True
425,127,185,c1_9,382.57,48,n_to_n,2,True
426,201,222,c1_9,286.25,47,n_to_n,2,True
427,201,189,c1_9,442.69,48,n_to_n,2,True
428,201,122,c1_9,449.35,48,n_to_n,2,True
429,201,185,c1_9,223.83,48,n_to_n,2,True
430,142,222,c1_9,360.88,48,n_to_n,2,True
431,142,189,c1_9,266.44,48,n_to_n,2,True
432,142,122,c1_9,292.46,48,n_to_n,2,True
433,142,185,c1_9,292.35,47,n_to_n,2,True
434,224,222,c1_9,209.78,47,n_to_n,2,True
435,224,189,c1_9,191.38,48,n_to_n,2,True
436,224,122,c1_9,294.66,47,n_to_n,2,True
437,224,185,c1_9,417.25,47,n_to_n,2,True
438,215,222,c1_9,403.32,48,n_to_n,2,True
439,215,189,c1_9,219.51,47,n_to_n,2,True
440,215,122,c1_9,411.92,47,n_to_n,2,True
441,215,185,c1_9,201.26,48,n_to_n,2,True
442,227,222,c1_9,359.67,47,n_to_n,2,True
443,227,189,c1_9,306.61,48,n_to_n,2,True
444,227,122,c1_9,268.45,48,n_to_n,2,True
445,227,185,c1_9,255.93,48,n_to_n,2,True
446,222,177,c1_10,2695.04,50,n_to_1,2,True
447,189,177,c1_10,2451.29,50,n_to_1,2,True
448,122,177,c1_10,2590.72,50,n_to_1,2,True
449,185,177,c1_10,1980.36,49,n_to_1,2,True
450,190,124,c1_1,543.62,31,n_to_1,2,True
451,175,124,c1_1,349.59,31,n_to_1,2,True
452,125,124,c1_1,473.22,31,n_to_1,2,True
453,229,124,c1_1,553.2,31,n_to_1,2,True
454,191,124,c1_1,330.87,30,n_to_1,2,True
455,197,124,c1_1,522.7,31,n_to_1,2,True
456,216,124,c1_1,543.74,32,n_to_1,2,True
457,140,124,c1_1,436.63,31,n_to_1,2,True
458,237,124,c1_1,553.28,31,n_to_1,2,True
459,219,124,c1_1,405.54,32,n_to_1,2,True
460,138,124,c1_1,310.94,30,n_to_1,2,True
461,161,124,c1_1,364.23,31,n_to_1,2,True
462,165,124,c1_1,314.89,32,n_to_1,2,True
463,204,124,c1_1,304.15,32,n_to_1,2,True
464,231,124,c1_1,409.27,31,n_to_1,2,True
465,235,124,c1_1,316.53,30,n_to_1,2,True
466,181,124,c1_1,412.76,30,n_to_1,2,True
467,206,124,c1_1,393.0,31,n_to_1,2,True
468,129,124,c1_1,518.4,30,n_to_1,2,True
469,238,124,c1_1,324.55,31,n_to_1,2,True
470,194,124,c1_1,343.87,31,n_to_1,2,True
471,202,124,c1_1,523.24,31,n_to_1,2,True
472,154,124,c1_1,379.74,31,n_to_1,2,True
473,137,124,c1_1,581.62,31,n_to_1,2,True
474,521,239,normal,125.01,0,normal,0,False
475,855,657,normal,693.03,0,normal,0,False
476,946,986,normal,763.78,0,normal,0,False
477,946,979,normal,636.84,0,normal,0,False
478,236,364,normal,967.9,0,normal,0,False
479,533,129,normal,371.93,0,normal,0,False
480,612,882,normal,348.19,0,normal,0,False
481,693,941,normal,894.68,0,normal,0,False
482,773,973,normal,648.65,0,normal,0,False
483,121,674,normal,589.45,0,normal,0,False
484,48,302,normal,482.85,0,normal,0,False
485,937,483,normal,286.9,0,normal,0,False
486,526,218,normal,763.02,0,normal,0,False
487,655,464,normal,176.53,0,normal,0,False
488,353,341,normal,419.49,0,normal,0,False
489,191,7,normal,810.21,0,normal,0,False
490,814,990,normal,301.12,0,normal,0,False
491,67,865,normal,1036.82,0,normal,0,False
492,152,292,normal,254.11,0,normal,0,False
493,84,374,normal,768.9,0,normal,0,False
494,762,979,normal,299.11,0,normal,0,False
495,989,992,normal,533.96,0,normal,0,False
496,989,762,normal,637.65,0,normal,0,False
497,989,716,normal,818.29,0,normal,0,False
498,541,87,normal,899.71,0,normal,0,False
499,12,998,normal,861.33,0,normal,0,False
500,784,774,normal,577.18,0,normal,0,False
501,10,669,normal,374.73,0,normal,0,False
502,649,579,normal,322.27,0,normal,0,False
503,102,810,normal,749.52,0,normal,0,False
504,869,235,normal,251.83,0,normal,0,False
505,10,339,normal,885.42,0,normal,0,False
506,974,919,normal,662.29,0,normal,0,False
507,974,926,normal,327.16,0,normal,0,False
508,9,756,normal,781.34,0,normal,0,False
509,40,795,normal,754.79,0,normal,0,False
510,24,264,normal,801.06,0,normal,0,False
511,42,860,normal,782.74,0,normal,0,False
512,972,668,normal,892.42,0,normal,0,False
513,972,86,normal,219.19,0,normal,0,False
514,612,237,normal,646.99,0,normal,0,False
515,561,15,normal,732.23,0,normal,0,False
516,410,326,normal,233.25,0,normal,0,False
517,49,373,normal,789.33,0,normal,0,False
518,552,20,normal,436.66,0,normal,0,False
519,643,285,normal,918.69,0,normal,0,False
520,162,939,normal,1001.68,0,normal,0,False
521,59,795,normal,713.57,0,normal,0,False
522,740,870,normal,386.63,0,normal,0,False
523,470,239,normal,765.19,0,normal,0,False
